appraise                                                    살피다/평가하다
giddy                                                       어지러운
vigorous                                                    활발한
influx                                                      밀어닥침

undermine                                                   기반을 약화시키다
undertake                                                   착수하다
wander                                                      헤매다/산만해지다
warrant                                                     보증서/영장
vice                                                        범죄
rule                                                        판결을 내리다

utter                                                       완전한
vague                                                       희미한/모호한
weevil                                                      바구미(벌레)
move(명사)                                                  변화
exhume                                                      파내다
short supplies                                              공급부족
grub                                                        유충
opponent                                                    반대자
bring s.t to light                                          밝혀내다
verbal                                                      언어의
verse                                                       운문
vocation                                                    천직
wage                                                        임금(급료)
union                                                       연방
unify                                                       통합하다
virtue                                                      선행/장점
voyage                                                      여행
depot                                                       창고
spontaneous                                                 자발적인
middleman                                                   중개인
