pamper                                                      애지중지하다 
vulnerable                                                  취약한
heave                                                       들어올리다
brisk                                                       바쁜
reverie                                                     몽상 
assorted                                                    여러 가지의
consultation                                                협의

intent                                                      강한 관심을 보이는
innate                                                      선천적인
inmate                                                      수감자
intimate                                                    친밀한
prosaic                                                     평범한
eccentric                                                   기이한
compromise                                                  타협하다
comprise                                                   ~으로 구성되다
disinfectant                                                소독약

a health exam                                               건강검진
brotherly                                                   형제의
exoplanet                                                   태양계외 행성
hypothesis                                                  가설
forms of life                                               생명체
the voice box                                               성대(신체기관)
day-to-day                                                  매일 행해지는
factual                                                     사실에 기반을 둔
clad                                                       ~(옷)을 입은 
inadvertently                                               무심코
perish                                                      비명횡사하다
posh                                                        우아한
outdo                                                       능가하다 
cleft                                                       갈라진 틈
prodigy                                                     영재
replenish                                                   다시 채우다
dinky                                                       깜찍한
encroach                                                    침해하다



                                                
